Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
328002,NO,MADRID,"ÁREA DE GOBIERNO DE POLÍTICAS SOCIALES, FAMILIA E IGUALDAD",,02/01/2017,CONVENIO DE SUBVENCIÓN CON EL ILUSTRE COLEGIO DE ABOGADOS DE MADRID DENOMINADO ACCESO A LA JUSTICIA DE LOS SOLICITANTES DE ASILO Y REFUGIO EN GRECIA  AÑO 2016.,
328004,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 INSTITUT D'ESTUDIS DE LA VALL D'ALBAIDA (IEVA),
328005,NO,CANTABRIA,SERVICIO CÁNTABRO DE EMPLEO,,02/01/2017,"Decreto 1/2015, de 15 de enero, por el que se regula el procedimiento de concesión directa de subvenciones a centros sespeciales de empleo, cofinanciadas por el FSE, destinadas al mantenimiento de los puestos de trabajo de personas con discapacidad.",
328006,NO,"ROSAL, O",AYUNTAMIENTO DE O ROSAL,,02/01/2017,SUBVENCIÓN NOMINATIVA AVELAÍÑA,
328007,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 PARRÒQUIA DE SANT CARLES-JUNIORS DE SANT CARLES,
328008,NO,MADRID,COORDINACIÓN GENERAL DE LA ALCALDÍA,,02/01/2017,SUBVENCIÓN COMISIÓN ESPAÑOLA DE AYUDA AL REFUGIADO- CEAR,
328009,NO,PICASSENT,AYUNTAMIENTO DE PICASSENT,,02/01/2017,RELACION DE SUBVENCIONES PREVISTAS NOMINATIVAMENTE EN LAS BASES EJECUCION DEL PRESUPUESTO 2016,
328010,NO,CANTABRIA,SERVICIO CÁNTABRO DE EMPLEO,,02/01/2017,"Decreto 9/2013, de 28 de febrero, por el que se regulan las subvenciones destinadas a la promoción del empleo autónomo en la Comunidad Autónoma de Cantabria.",
328011,NO,CATALUÑA,"DEPARTAMENT D'AGRICULTURA, RAMADERIA, PESCA I ALIMENTACIÓ",,02/01/2017,Convocatoria de las ayudas destinadas a incentivar la investigación aplicada en materia de producción agroalimentaria ecológica correspondientes a 2017.,
328012,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 ASOCIACIÓN AMIGOS DE LOS REYES MAGOS DE ONTINYENT,
328013,NO,"ROSAL, O",AYUNTAMIENTO DE O ROSAL,,02/01/2017,SUBVENCIÓN NOMINATIVA ASOCIACION ESPAÑOLA CONTRA EL CÁNCER,
328014,NO,VILLARROBLEDO,AYUNTAMIENTO DE VILLARROBLEDO,,02/01/2017,Subvenciones del Ayuntamiento de Villarrobledo año 2015. Area Servicios Sociales,
328015,NO,RIBA-ROJA DE TÚRIA,AYUNTAMIENTO DE RIBA-ROJA DE TÚRIA,,02/01/2017,"Acuerdo de 30 de diciembre de 2016 de la Junta de Gobierno Local del Ayuntamiento de Riba-roja de Túria, por la que se convocan las subvenciones a usuarios del servicio de ayuda a domicilio durante el ejercicio 2017",
328016,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 ASSOCIACIÓ VEÏNAL POBLE NOU D'ONTINYENT,
328017,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 ASOCIACIÓN DE FIESTAS DE LA PURÍSIMA DE ONTINYENT,
328018,NO,FELANITX,AYUNTAMIENTO DE FELANITX,,02/01/2017,SUBVENCIÓ NOMINATIVA A LLUIS NAVARRO SERRANO,
328019,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 COLLA DE XIRIMITERS I TABALS "EL REGALL" D'ONTINYENT,
328020,NO,RIBA-ROJA DE TÚRIA,AYUNTAMIENTO DE RIBA-ROJA DE TÚRIA,,02/01/2017,"Acuerdo de 30 de diciembre de 2016 de la Junta de Gobierno Local del Ayuntamiento de Riba-roja de Túria, por la que se convocan las subvenciones de prestaciones económicas individuales durante el ejercicio 2017",
328021,NO,GALICIA,"CONSELLERÍA DE CULTURA, LENGUA Y JUVENTUD",,02/01/2017,Axudas ao sector do libro galego para tradución en 2017,
328022,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 COLLA DE CAMPANERS D'ONTINYENT,
328023,NO,"ROSAL, O",AYUNTAMIENTO DE O ROSAL,,02/01/2017,SUBVENCIÓN NOMINATIVA AGRUPACIÓN MUSICAL O ROSAL,
328024,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 GRUP DE DANSES D'ONTINYENT,
328025,NO,FELANITX,AYUNTAMIENTO DE FELANITX,,02/01/2017,AYUDAS A PERSONAS EN SITUACIÓN DE GRAVE Y URGENTE NECESIDAD PARA EL AÑO 2016,
328026,NO,GALICIA,"CONSELLERÍA DE CULTURA, LENGUA Y JUVENTUD",,02/01/2017,Axudas a concellos para compra de novidades editoriais en 2017,
328027,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 JUNTA DE HERMANDADES Y COFRAFÍAS DE SEMANA SANTA DE ONTINYENT,
328028,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,Bases y convocatoria 2017 para la concesion de subvenciones para entidades que actuen en el ámbito de los servicios sociales del municipio de getxo  línea 1:  Funcionamiento y/o mantenimiento de la actividad ordinaria de las entidades de Getxo,
328029,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 CINE CLUB UTIYE,
328030,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 SOCIETAT UNIÓ ARTÍSTICA MUSICAL D'ONTINYENT,
328031,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 AD LIBITUM - ESCOLA DE MÚSICA,
328032,NO,MISLATA,AYUNTAMIENTO DE MISLATA,,02/01/2017,"Convocatoria de ayudas para el desarrollo del programa de deporte escolar y extraescolar, curso 2016/2017",
328033,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 ASOCIACIÓN CULTURAL MASTERS BALLET,
328034,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,Bases y convocatoria 2017 para la concesion de subvenciones para entidades que actuen en el ámbito de los servicios sociales del municipio de getxo  línea 2:  Proyectos específicos de interés para el municipio de Getxo,
328035,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 AMIGOS DEL BAILE,
328036,NO,PALLEJÀ,AYUNTAMIENTO DE PALLEJÀ,,02/01/2017,SUBVENCIÓN NOMINATIVA ASSOCIACIÓ PSONORA,
328037,NO,PALLEJÀ,AYUNTAMIENTO DE PALLEJÀ,,02/01/2017,CONVENIO DE COLABORACIÓN DECRERA SCCL PROGRAMA D'ACOMPANYAMENT SOCIAL I LABORAL PER A JOVES PALLEJÀ,
328038,NO,ONTINYENT,AYUNTAMIENTO DE ONTINYENT,,02/01/2017,SUBVENCIÓN NOMINATIVA  2016 ASSOCIACIÓ MUSIVOCOAL NOU ORFEÓ D'ONTINYENT,
328039,NO,CABILDO INSULAR DE LA PALMA,CONSEJO INSULAR DE AGUAS DE LA PALMA,,02/01/2017,"ACUERDO DE LA JUNTA DE GOBIERNO DEL CONSEJO INSULAR DE AGUAS DE LA PALMA, POR EL QUE SE CONVOCA CONCURSO PÚBLICO PARA LA SOLICITUD DE AUXILIOS ECONÓMICOS PARA PROYECTOS DE OBRAS HIDRÁULICAS DE INICIATIVA PRIVADA PARA 2017",
328040,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,Bases y convocatoria 2017 para la concesion de subvenciones para entidades que actuen en el ámbito de los servicios sociales del municipio de getxo  Línea 3: Proyectos experimentales o novedosos,
328041,NO,CANTABRIA,SERVICIO CÁNTABRO DE EMPLEO,,02/01/2017,"Decreto 33/2008, de 3 de abril, por el que se regula el procedimiento de concesión directa de subvenciones destinadas al fomento del empleo de personas con discapacidad",
328042,NO,COMUNIDAD FORAL DE NAVARRA,DEPARTAMENTO DE INDUSTRIA Y DE TRANSICION ECOLOGICA Y DIGITAL EMPRESARIAL,,02/01/2017,Ayudas a Centros tecnológicos y Organismos de investigación y difusión de conocimientos para la realización de proyectos de I+D para el año 2017,
328043,NO,PALLEJÀ,AYUNTAMIENTO DE PALLEJÀ,,02/01/2017,SUBVENCIÓN NOMINATIVA CEIP JACINT VERDAGUER DESPESES TELEFÒNIQUES,
328044,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,Bases y convocatoria 2017 para la concesion de subvenciones para entidades que actuen en el ámbito de los servicios sociales del municipio de getxo  Sublínea 4A: Promoción y fortalecimiento en el ámbito social.,
328045,NO,PALLEJÀ,AYUNTAMIENTO DE PALLEJÀ,,02/01/2017,SUBVENCIÓN NOMINATIVA CEIP ÀNGEL GUIMERÀ DESPESES TELEFÒNIQUES,
328046,NO,"ROSAL, O",AYUNTAMIENTO DE O ROSAL,,02/01/2017,SUBVENCIÓN NOMINATIVA CLUB CICLISTA O ROSAL,
328047,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,Bases y convocatoria 2017 para la concesion de subvenciones para entidades que actuen en el ámbito de los servicios sociales del municipio de getxo  Sublínea 4 B: Promoción de la participación y envejecimiento activo en las personas mayores.,
328048,NO,ARGENTONA,AYUNTAMIENTO DE ARGENTONA,,02/01/2017,SUBVENCIÓN NOMINATIVA PATRONAT VELLESA,
328049,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,Bases y convocatoria 2017 para la concesion de subvenciones para entidades que actuen en el ámbito de los servicios sociales del municipio de getxo  Sublínea 5 A: Apoyo en el acompañamiento social de personas y familias en situación de riesgo,
328050,NO,CANTABRIA,SERVICIO CÁNTABRO DE EMPLEO,,02/01/2017,"Decreto 27/2008, 13 de marzo, por el que se regula el procedimiento de concesión directa de subvenciones destinadas a facilitar la integración laboral de discapacitados en centros especiales de empleo",
328051,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,bases y convocatoria 2017 para la concesion de subvenciones para entidades que actuen en el ámbito de los servicios sociales del municipio de getxo  Sublínea 5.B Apoyo en la cobertura de necesidades básicas de personas en situación de exclusión social. Se,
328052,NO,"ROSAL, O",AYUNTAMIENTO DE O ROSAL,,02/01/2017,SUBVENCIÓN NOMINATIVA ASOCIACIÓN ÉRGUETE BAIXO MIÑO,
328053,NO,CANTABRIA,SERVICIO CÁNTABRO DE EMPLEO,,02/01/2017,"Decreto 34/2008, de 3 de abril, por el que se regula el procedimiento de concesión directa de subvenciones consistentes en el abono de cuotas a la Seguridad Social a los trabajadores que tengan reconocida la prestación por desempleo en pago único.",
328054,NO,SANT VICENÇ DE CASTELLET,AYUNTAMIENTO DE SANT VICENÇ DE CASTELLET,,02/01/2017,CONVOCATORIA PARA LA CONCESION DE AYUDAS A MENORES DE 3 Y 12 AÑOS PARA LA REALIZACION DE UNA ACTIVIDAD EXTRAESCOLAR NO DEPORTIVA.,
328055,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,Bases y convocatoria 2017 para la concesion de subvenciones para entidades que actuen en el ámbito de los servicios sociales del municipio de Getxo  Sublínea 5.C Apoyo en la acogida nocturna a personas en situación de exclusión social.,
328056,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,bases y convocatoria 2017 para la concesion de subvenciones para entidades que actuen en el ámbito de los servicios sociales del municipio de getxo  Sublínea 5.D Apoyo en la intervención social complementaria.,
328057,NO,GETXO,AYUNTAMIENTO DE GETXO,,02/01/2017,Bases y convocatoria 2017 para la concesion de subvenciones para entidades que actuen en el ámbito de los servicios sociales del municipio de Getxo  Linea de subvención 6: Acogida de personas inmigradas y promoción de la interculturalidad,
328058,NO,AMURRIO,AYUNTAMIENTO DE AMURRIO,,02/01/2017,SUBVENCION NOMINATIVA TURISMO Y PROMOCION ECONOMICA CONVENIO COLABORACION 2016 CON APYMCA,
328059,NO,MISLATA,AYUNTAMIENTO DE MISLATA,,02/01/2017,Convocatoria de Premios Juveniles de Literatura Breve 2016,
328060,NO,PRINCIPADO DE ASTURIAS,CONSEJERÍA DE DERECHOS SOCIALES Y BIENESTAR,,03/01/2017,Resolución de 27 de diciembre de 2016 por la que se autoriza y dispone el gasto y se reconoce la obligación a favor de Fundación Hogar de San José para hacer efectiva la subvención nominativa,
328061,NO,PRINCIPADO DE ASTURIAS,CONSEJERÍA DE DERECHOS SOCIALES Y BIENESTAR,,03/01/2017,Resolución de 27 de diciembre de 2016 por la que se autoriza y dispone el gasto y se reconoce la obligación a favor de Cáritas Diocesana de Oviedo para hacer efectiva la subvención nominativa,
328062,NO,PRINCIPADO DE ASTURIAS,CONSEJERÍA DE DERECHOS SOCIALES Y BIENESTAR,,03/01/2017,Resolución de 30 de diciembre de 2016 por la que se autoriza y dispone el gasto y reconoce obligación a favor de Hermandad San Juan de Dios Sanatorio Marítimo para hacer efectiva la subvención nominativa,
328063,NO,PRINCIPADO DE ASTURIAS,CONSEJERÍA DE DERECHOS SOCIALES Y BIENESTAR,,03/01/2017,Resolución de 30 de diciembre de 2016 por la que se autoriza y dispone gasto y se reconoce la obligación a favor de Colegio Nª Sª Fátima D.Orione para fortalecimiento,
328064,NO,"ALMUNIA DE DOÑA GODINA, LA","AYUNTAMIENTO DE ALMUNIA DE DOÑA GODINA, LA",,03/01/2017,AYUDA DE URGENCIA 2016 Nº 23,
328065,NO,DIPUTACIÓN PROV. DE TARRAGONA,DIPUTACIÓN PROVINCIAL DE TARRAGONA,,03/01/2017,"CONVENI EDICIONS 62, S.A.",
328066,NO,DIPUTACIÓN PROV. DE TARRAGONA,DIPUTACIÓN PROVINCIAL DE TARRAGONA,,03/01/2017,CONVENI AJUNTAMENT DE ROCAFORT,
328067,NO,LA RIOJA,"CONSEJERÍA DE AGRICULTURA, GANADERÍA Y MEDIO AMBIENTE",,03/01/2017,Ayudas ATRIAs,
328068,NO,SANT FELIU DE GUÍXOLS,AYUNTAMIENTO DE SANT FELIU DE GUIXOLS,,03/01/2017,ACUERDO DE 5 DE DICIEMBRE DE 2016 POR EL QUE SE CONCEDE SUBVENCIÓN DIRECTA PARA UN PROYECTO DE ACTUACIÓN DE UN EDUCADOR SOCIAL AL INSTITUTO ST ELM,
328069,NO,"ALMUNIA DE DOÑA GODINA, LA","AYUNTAMIENTO DE ALMUNIA DE DOÑA GODINA, LA",,03/01/2017,AYUDA DE URGENVCIA 2016 Nº 25,
328070,NO,"ALMUNIA DE DOÑA GODINA, LA","AYUNTAMIENTO DE ALMUNIA DE DOÑA GODINA, LA",,03/01/2017,AYUDA DE URGENVCIA 2016 Nº 26,
328071,NO,"ALMUNIA DE DOÑA GODINA, LA","AYUNTAMIENTO DE ALMUNIA DE DOÑA GODINA, LA",,03/01/2017,AYUDA DE URGENCIA 2016 Nº 29,
328072,NO,DURANGO,AYUNTAMIENTO DE DURANGO,,03/01/2017,Convocatoria de becas a particulares para la creación y producción de actividades artísticas. Años 2016-2017,
328073,NO,"ALMUNIA DE DOÑA GODINA, LA","AYUNTAMIENTO DE ALMUNIA DE DOÑA GODINA, LA",,03/01/2017,AYUDA DE URGENCIA 2016 Nº 30,
328074,NO,DIPUTACIÓN PROV. DE PALENCIA,DIPUTACIÓN PROVINCIAL DE PALENCIA,,03/01/2017,"Subvenciones a Ayuntamientos titulares de Centros Infantiles para financiar gastos corrientes ocasionados por el funcionamiento de los mismos, año 2017.",
328075,NO,"ALMUNIA DE DOÑA GODINA, LA","AYUNTAMIENTO DE ALMUNIA DE DOÑA GODINA, LA",,03/01/2017,AYUDA DE URGENCIA 2016 Nº 31,
328076,NO,ALMASSORA,AYUNTAMIENTO DE ALMAZORA/ALMASSORA,,03/01/2017,BASES DE LA CONVOCATORIA MUNICIPAL PARA LA CONCESIÓN DE LAS PRESTACIONES ECONÓMICAS INDIVIDUALIZADAS (PEI'S) DEL AYUNTAMIENTO DE ALMASSORA,
328077,NO,DIPUTACIÓN PROV. DE TARRAGONA,DIPUTACIÓN PROVINCIAL DE TARRAGONA,,03/01/2017,"Conveni Fundació Tarragona 2017, any 2016",
328078,NO,DIPUTACIÓN PROV. DE TARRAGONA,DIPUTACIÓN PROVINCIAL DE TARRAGONA,,03/01/2017,Conveni Gresol 2016,
328079,NO,VIGO,AYUNTAMIENTO DE VIGO,,03/01/2017,PROGRAMA CONTRA DESAHUCIOS Y DE EMERGENCIA SOCIAL PARA EL AÑO 2017,
328081,NO,DIPUTACIÓN PROV. DE CÓRDOBA,DIPUTACIÓN PROVINCIAL DE CÓRDOBA,,03/01/2017,Convenio de Colaboración entre Diputación y la Asociación La Soledad de Moriles,
328082,NO,DIPUTACIÓN PROV. DE TARRAGONA,DIPUTACIÓN PROVINCIAL DE TARRAGONA,,03/01/2017,Conveni Taller Baix Camp 2016,
328084,NO,COMUNIDAD DE MADRID,"CONSEJERÍA DE VIVIENDA, TRANSPORTES E INFRAESTRUCTURAS",,03/01/2017,AYUDAS A PROMOCION VDAS INTEGRACION SOCIAL D.12/2005 PAGO SENTENCIAS,
328085,NO,"CUERVO DE SEVILLA, EL","AYUNTAMIENTO DE CUERVO DE SEVILLA, EL",,03/01/2017,BASES CONCURSO AGRUPACIONES CARNAVALESCAS AYUNTAMIENTO DE EL CUERVO 2017,
328086,NO,FELANITX,AYUNTAMIENTO DE FELANITX,,03/01/2017,AYUDAS A PERSONAS EN SITUACIÓN DE GRAVE Y URGENTE NECESIDAD PARA EL AÑO 2016,
328087,NO,RODA DE TER,AYUNTAMIENTO RODA DE TER,,03/01/2017,SUBVENCION NOMINATIVA CÀRITAS PARROQUIAL,
328088,NO,COMUNIDAD DE MADRID,"CONSEJERÍA DE VIVIENDA, TRANSPORTES E INFRAESTRUCTURAS",,03/01/2017,PROMOTORES VPPA-FINANC.CUALIF. AYUDAS VDA Y REHAB.-PROT.PCA-D.228/98,
328089,NO,DIPUTACIÓN PROV. DE PALENCIA,DIPUTACIÓN PROVINCIAL DE PALENCIA,,03/01/2017,Convenio de colaboración entre la Diputación de Palencia y el Centro Tecnológico de Cereales para la impartición de formación,
328091,NO,COMUNIDAD DE MADRID,"CONSEJERÍA DE VIVIENDA, TRANSPORTES E INFRAESTRUCTURAS",,03/01/2017,SUBV. ALQUILER DE VDA POR SENTENCIA - ACOGIDA RD.2066/2008 EXP. A_1881/12,
328092,NO,RODA DE TER,AYUNTAMIENTO RODA DE TER,,03/01/2017,SUBVENCIÓN NOMINATIVA AL CE RODA,
328093,NO,DIPUTACIÓN PROV. DE CÓRDOBA,DIPUTACIÓN PROVINCIAL DE CÓRDOBA,,03/01/2017,Convenio de Colaboración entre Diputación y la Asociación "Esto es Jauja",
328095,NO,COMUNIDAD DE MADRID,"CONSEJERÍA DE VIVIENDA, TRANSPORTES E INFRAESTRUCTURAS",,03/01/2017,AYUDA ADQUISICION VDA PROTEG - D.11/2001 - PLAN REGIONAL 2001-04 - PAGO STA,
328097,NO,COMUNIDAD DE MADRID,"CONSEJERÍA DE VIVIENDA, TRANSPORTES E INFRAESTRUCTURAS",,03/01/2017,REHABILITACION INTEGRADA-ORDEN 1578/05 (D.12/2005) PLAN REGIONAL 2005-08,
328098,NO,CARTAGENA,AGENCIA DE DESARROLLO LOCAL Y EMPLEO,,03/01/2017,SUBVENCIÓN A ENTIDADES PARA EL DESARROLLO DE ACTUACIONES DIRIGIDAS A PROMOVER LA PLENA INTEGRACIÓN SOCIAL Y LABORAL DE LAS PERSONAS CON DISCAPACIDAD FÍSICA Y/U ORGÁNICAS DEL MUNICIPIO DE CARTAGENA,
328100,NO,GETXO,AYUNTAMIENTO DE GETXO,,03/01/2017,Bases y convocatoria 2017 para la concesion de subvenciones para entidades que actuen en el ámbito de los servicios sociales del municipio de getxo  línea 2:  Proyectos específicos de interés para el municipio de Getxo,
328101,NO,GALICIA,"CONSELLERÍA DE CULTURA, LENGUA Y JUVENTUD",,03/01/2017,AXUDA DIRECTA Á ASOCIACIÓN REAL PADROADO DE SARGADELOS,
328102,NO,CUBILLOS DEL SIL,AYUNTAMIENTO DE CUBILLOS DEL SIL,,03/01/2017,SUBVENCIÓN NOM CLUB DEPORTIVO EL BIERZO RACING COMPETICIÓN 2016,
328103,NO,DIPUTACIÓN PROV. DE HUESCA,DIPUTACIÓN PROVINCIAL DE HUESCA,,03/01/2017,Subvención a Fundación Canónica Interdiocesana. Intervención psicológica para la problemática familiar.Gastos de personal. n.º 3423,
328104,NO,DIPUTACIÓN PROV. DE MÁLAGA,DIPUTACIÓN PROVINCIAL DE MÁLAGA,,03/01/2017,Concesión subvención al ayuntamiento de Monda con destino a almacén  municipal,
328105,NO,GETXO,AYUNTAMIENTO DE GETXO,,03/01/2017,bases reguladoras de las ayudas destinadas a subvencionar desplazamientos de familiares para visitas realizadas en 2016 a personas penadas o en prisión preventiva internas en centros penitenciarios de fuera de la comunidad autónoma de Euskadi (CAE),
328110,NO,DIPUTACIÓN PROV. DE PALENCIA,DIPUTACIÓN PROVINCIAL DE PALENCIA,,03/01/2017,Convenio de colaboración entre la Diputación de Palencia y la Cámara Oficial de Comercio e Industria de Palencia para la realización del proyecto "Piensa en Global: emprende en local (PEGEL)",
328111,NO,DIPUTACIÓN PROV. DE MÁLAGA,DIPUTACIÓN PROVINCIAL DE MÁLAGA,,03/01/2017,Concesión subvención al ayuntamiento de Sedella con destison a muros de contención en calle Granada,
328112,NO,PAIPORTA,AYUNTAMIENTO DE PAIPORTA,,03/01/2017,Convenio colaboración entre el Ayuntamiento de Paiporta y Cáritas Parroquial San Jorge Martir " Proyecto Hogar 2016",
328113,NO,PALLEJÀ,AYUNTAMIENTO DE PALLEJÀ,,03/01/2017,SUBVENCIÓN NOMINATIVA ASSOCIACIÓ DE VEÏNS DEL BARRI DE LA MAGINA,
328115,NO,DIPUTACIÓN PROV. DE MÁLAGA,DIPUTACIÓN PROVINCIAL DE MÁLAGA,,03/01/2017,Concesión subvención al ayuntamiento de Benarrabá con destino a vehículo para recogida y transporte de residuos urbanos,
328116,NO,DIPUTACIÓN PROV. DE SEGOVIA,DIPUTACIÓN PROVINCIAL DE SEGOVIA,,03/01/2017,CONVENIO CONCESIÓN SUBVENCIÓN CENTRO NACIONAL DEL VIDRIO (Decreto nº 2016/3739. 21-11-2016,
328117,NO,COMUNIDAD DE MADRID,"CONSEJERÍA DE MEDIO AMBIENTE, AGRICULTURA E INTERIOR",,03/01/2017,ORDEN AYUDAS FOMENTO INVERSIONES EN TRANSFORMAC. COMERC. Y DESARROLLO PROD.,
328118,NO,COMUNIDAD DE MADRID,"CONSEJERÍA DE MEDIO AMBIENTE, AGRICULTURA E INTERIOR",,03/01/2017,AYUDAS PARA LA MODERNIZACIÓN DE LAS ESTRUCTURAS AGRARIAS. CONVOCATORIA 2017,
328119,NO,COMUNIDAD DE MADRID,"CONSEJERÍA DE MEDIO AMBIENTE, AGRICULTURA E INTERIOR",,03/01/2017,(AD).AYUDAS FOMENTO INVERSIO.INFRAES.CARACT.AGRA.USO COMÚN CONVOC. 2017,
328120,NO,GIJÓN,AYUNTAMIENTO DE GIJÓN,,03/01/2017,PRORROGA PARA 2016 DEL CONVENIO DE COLABORACION CON LA FUNDACION SECRETARIADO GITANO 2015 PARA EL PROYECTO: PROGRAMAS DE ACCIONES PARA EL ACOMPAÑAMIENTO SOCIAL,
